projectKey,value,type,Ecosystem
ONAP_holmes-rule-management,31,Java Files,ONAP
ONAP_msb-apigateway,99,Java Files,ONAP
ONAP_vnfsdk-ves-agent,31,Java Files,ONAP
ONAP_music,65,Java Files,ONAP
ONAP_holmes-common,69,Java Files,ONAP
ONAP_msb-discovery,64,Java Files,ONAP
ONAP_msb-java-sdk,48,Java Files,ONAP
ONAP_vfc-nfvo-multivimproxy,41,Java Files,ONAP
ONAP_vfc-nfvo-driver-vnfm-gvnfm-juju,89,Java Files,ONAP
ONAP_dmaap-messagerouter-dmaapclient,50,Java Files,ONAP
ONAP_policy-apex-pdp,703,Java Files,ONAP
ONAP_logging-analytics-pomba-pomba-sdnc-context-builder,49,Java Files,ONAP
ONAP_sdc-sdc-distribution-client,50,Java Files,ONAP
ONAP_dmaap-messagerouter-msgrtr,97,Java Files,ONAP
ONAP_sdc-sdc-workflow-designer,106,Java Files,ONAP
ONAP_vnfsdk-validation,72,Java Files,ONAP
ONAP_vnfsdk-refrepo,85,Java Files,ONAP
ONAP_sdc-dcae-d-dt-be-main,139,Java Files,ONAP
ONAP_sdnc-northbound,47,Java Files,ONAP
ONAP_sdc-dcae-d-ci,58,Java Files,ONAP
ONAP_sdc-dcae-d-dt-be-property,103,Java Files,ONAP
ONAP_sdc-sdc-tosca,112,Java Files,ONAP
ONAP_vfc-nfvo-driver-svnfm-huawei,75,Java Files,ONAP
ONAP_dmaap-messagerouter-mirroragent,10,Java Files,ONAP
ONAP_vfc-nfvo-driver-vnfm-svnfm-nokiav2,96,Java Files,ONAP
ONAP_vfc-nfvo-resmanagement,160,Java Files,ONAP
ONAP_so,2168,Java Files,ONAP
ONAP_vfc-nfvo-driver-ems,48,Java Files,ONAP
ONAP_vfc-nfvo-driver-sfc,35,Java Files,ONAP
Apache_sling-org-Apache-sling-scripting-bundle-tracker,24,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-core,46,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-esx,13,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-sightly-compiler,153,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-sightly,43,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-sightly-compiler-java,39,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-sightly-js-provider,25,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-java,12,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-javascript,26,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-jsp,228,Java Classes,Apache
Apache_incubator-daffodil,1302,Java Classes,Apache
Apache_sling-org-Apache-sling-commons-html,27,Java Classes,Apache
Apache_sling-org-Apache-sling-hapi,21,Java Classes,Apache
Apache_sling-org-Apache-sling-i18n,16,Java Classes,Apache
Apache_sling-org-Apache-sling-jcr-contentloader,27,Java Classes,Apache
Apache_sling-org-Apache-sling-installer-core,73,Java Classes,Apache
Apache_sling-org-Apache-sling-jcr-jackrabbit-accessmanager,14,Java Classes,Apache
Apache_sling-org-Apache-sling-jcr-jackrabbit-usermanager,30,Java Classes,Apache
Apache_sling-org-Apache-sling-jcr-base,41,Java Classes,Apache
Apache_sling-org-Apache-sling-jcr-classloader,6,Java Classes,Apache
Apache_sling-org-Apache-sling-installer-provider-jcr,15,Java Classes,Apache
Apache_sling-org-Apache-sling-jcr-resource,33,Java Classes,Apache
servicecomb-pack,332,Java Classes,Apache
commons-numbers,66,Java Classes,Apache
commons-rng,162,Java Classes,Apache
commons-statistics,34,Java Classes,Apache
cxf,4630,Java Classes,Apache
Apache_sling-org-Apache-sling-pipes,64,Java Classes,Apache
Apache_sling-org-Apache-sling-provisioning-model,30,Java Classes,Apache
Apache_sling-org-Apache-sling-query,79,Java Classes,Apache
Apache_sling-org-Apache-sling-resource-filter,24,Java Classes,Apache
Apache_sling-org-Apache-sling-resourcemerger,20,Java Classes,Apache
Apache_sling-org-Apache-sling-resourceresolver,83,Java Classes,Apache
Apache_sling-org-Apache-sling-discovery-impl,17,Java Classes,Apache
Apache_sling-org-Apache-sling-rewriter,46,Java Classes,Apache
Apache_groovy,1771,Java Classes,Apache
hadoop-ozone,1416,Java Classes,Apache
Apache_incubator-iotdb,1022,Java Classes,Apache
Apache_isis,4258,Java Classes,Apache
Apache_incubator-tamaya,111,Java Classes,Apache
Apache_incubator-tamaya-extensions,276,Java Classes,Apache
Apache_sling-org-Apache-sling-junit-teleporter,9,Java Classes,Apache
Apache_sling-org-Apache-sling-xss,21,Java Classes,Apache
Apache_sling-org-Apache-sling-app-cms,183,Java Classes,Apache
Apache_sling-org-Apache-sling-jcr-repoinit,22,Java Classes,Apache
Apache_sling-org-Apache-sling-testing-sling-mock,50,Java Classes,Apache
Apache_sling-org-Apache-sling-junit-core,37,Java Classes,Apache
Apache_sling-org-Apache-sling-feature-modelconverter,3,Java Classes,Apache
Apache_sling-org-Apache-sling-file-optimization,20,Java Classes,Apache
Apache_sling-org-Apache-sling-fsresource,42,Java Classes,Apache
Apache_sling-org-Apache-sling-auth-form,12,Java Classes,Apache
Apache_openmeetings,583,Java Classes,Apache
jspwiki-builder,516,Java Classes,Apache
Apache_sling-org-Apache-sling-jobs,37,Java Classes,Apache
Apache_sling-org-Apache-sling-launchpad-base,35,Java Classes,Apache
Apache_sling-org-Apache-sling-launchpad-integration-tests,172,Java Classes,Apache
Apache_sling-org-Apache-sling-launchpad-test-services,72,Java Classes,Apache
Apache_sling-org-Apache-sling-tracer,23,Java Classes,Apache
Apache_sling-maven-launchpad-plugin,28,Java Classes,Apache
Apache_sling-maven-plugin,29,Java Classes,Apache
Apache_sling-org-Apache-sling-models-impl,61,Java Classes,Apache
Apache_sling-org-Apache-sling-models-integration-tests,46,Java Classes,Apache
Apache_sling-org-Apache-sling-api,116,Java Classes,Apache
Apache_sling-org-Apache-sling-auth-core,33,Java Classes,Apache
Apache_sling-org-Apache-sling-bundleresource-impl,10,Java Classes,Apache
Apache_sling-org-Apache-sling-clam,20,Java Classes,Apache
Apache_sling-org-Apache-sling-committer-cli,37,Java Classes,Apache
Apache_sling-org-Apache-sling-commons-jcr-file,12,Java Classes,Apache
Apache_sling-org-Apache-sling-commons-log,57,Java Classes,Apache
Apache_sling-org-Apache-sling-commons-metrics,33,Java Classes,Apache
JMeter,1326,Java Classes,Apache
commons-compress,300,Java Classes,Apache
Apache-dolphinscheduler,537,Java Classes,Apache
Apache_sling-org-Apache-sling-feature-io,21,Java Classes,Apache
Apache_sling-org-Apache-sling-jcr-webdav,14,Java Classes,Apache
Apache_sling-org-Apache-sling-jmx-provider,8,Java Classes,Apache
Apache_sling-org-Apache-sling-distribution-journal,74,Java Classes,Apache
Apache_sling-kickstart-maven-plugin,13,Java Classes,Apache
ant-master,1277,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-thymeleaf,16,Java Classes,Apache
poi-parent,3192,Java Classes,Apache
Apache_incubator-ratis,511,Java Classes,Apache
Apache_sling-org-Apache-sling-testing-clients,62,Java Classes,Apache
Apache_struts,1620,Java Classes,Apache
servicecomb-toolkit,465,Java Classes,Apache
Apache_sling-org-Apache-sling-servlets-get,20,Java Classes,Apache
Apache_plc4x,709,Java Classes,Apache
Apache_incubator-tamaya-sandbox,131,Java Classes,Apache
commons-geometry,238,Java Classes,Apache
Apache_sling-whiteboard,28,Java Classes,Apache
Apache_sling-org-Apache-sling-distribution-core,205,Java Classes,Apache
Apache_sling-org-Apache-sling-testing-serversetup,13,Java Classes,Apache
Apache_sling-org-Apache-sling-serviceusermapper,14,Java Classes,Apache
Apache_sling-org-Apache-sling-servlet-helpers,19,Java Classes,Apache
Apache_sling-org-Apache-sling-servlets-resolver,39,Java Classes,Apache
Apache_sling-slingstart-maven-plugin,35,Java Classes,Apache
Apache_sling-org-Apache-sling-testing-jcr-mock,22,Java Classes,Apache
Apache_sling-org-Apache-sling-testing-osgi-mock,42,Java Classes,Apache
Apache_sling-org-Apache-sling-testing-paxexam,3,Java Classes,Apache
Apache_sling-org-Apache-sling-testing-resourceresolver-mock,15,Java Classes,Apache
Apache_sling-scriptingbundle-maven-plugin,13,Java Classes,Apache
roller-master,528,Java Classes,Apache
Apache_sling-org-Apache-sling-scripting-jsp-taglib,28,Java Classes,Apache
Apache_sling-org-Apache-sling-discovery-oak,7,Java Classes,Apache
knox-gateway,1312,Java Classes,Apache
pdfbox-reactor,1290,Java Classes,Apache
Apache_sling-org-Apache-sling-discovery-base,25,Java Classes,Apache
Apache_sling-org-Apache-sling-discovery-commons,35,Java Classes,Apache
Apache_sling-org-Apache-sling-engine,111,Java Classes,Apache
Apache_sling-org-Apache-sling-event,76,Java Classes,Apache
Apache_sling-org-Apache-sling-feature,45,Java Classes,Apache
Apache_sling-org-Apache-sling-feature-launcher,17,Java Classes,Apache
Apache_sling-org-Apache-sling-feature-analyser,36,Java Classes,Apache
org.Apache.nemo:nemo-project,653,Java Classes,Apache
Apache_sling-jspc-maven-plugin,7,Java Classes,Apache
Apache_sling-org-Apache-sling-commons-threads,22,Java Classes,Apache
Apache_sling-org-Apache-sling-testing-rules,33,Java Classes,Apache
Apache_sling-org-Apache-sling-commons-testing,40,Java Classes,Apache
Apache_sling-slingfeature-maven-plugin,54,Java Classes,Apache
Apache_sling-org-Apache-sling-commons-scheduler,27,Java Classes,Apache
Apache_sling-org-Apache-sling-feature-cpconverter,52,Java Classes,Apache
Apache_sling-org-Apache-sling-caconfig-impl,82,Java Classes,Apache
Apache_sling-org-Apache-sling-servlets-post,65,Java Classes,Apache
Apache_sling-org-Apache-sling-validation-core,23,Java Classes,Apache
Apache_sling-org-Apache-sling-feature-extension-apiregions,16,Java Classes,Apache
ONAP_vfc-nfvo-wfengine-wfenginemgrservice,24,Java Classes,ONAP
ONAP_dcaegen2-services-bbs-event-processor,63,Java Classes,ONAP
ONAP_policy-engine,480,Java Classes,ONAP
ONAP_optf-fgps,59,Java Classes,ONAP
ONAP_usecase-ui-server,257,Java Classes,ONAP
ONAP_policy-distribution,73,Java Classes,ONAP
ONAP_policy-pap,73,Java Classes,ONAP
ONAP_dcaegen2-analytics-tca,140,Java Classes,ONAP
ONAP_dcaegen2-analytics-tca-gen2,249,Java Classes,ONAP
ONAP_dcaegen2-collectors-restconf,57,Java Classes,ONAP
ONAP_dcaegen2-collectors-ves,49,Java Classes,ONAP
ONAP_portal-sdk,527,Java Classes,ONAP
ONAP_policy-api,27,Java Classes,ONAP
ONAP_aaf-authz,782,Java Classes,ONAP
ONAP_policy-drools-pdp,313,Java Classes,ONAP
ONAP_aai-data-router,64,Java Classes,ONAP
ONAP_policy-models,440,Java Classes,ONAP
ONAP_aai-validation,98,Java Classes,ONAP
ONAP_aai-cacher,63,Java Classes,ONAP
ONAP_aai-esr-server,81,Java Classes,ONAP
ONAP_aai-event-client,18,Java Classes,ONAP
ONAP_aai-gizmo,60,Java Classes,ONAP
ONAP_aai-graphadmin,157,Java Classes,ONAP
ONAP_aai-model-loader,61,Java Classes,ONAP
ONAP_aai-resources,55,Java Classes,ONAP
ONAP_aai-router-core,20,Java Classes,ONAP
ONAP_appc,983,Java Classes,ONAP
ONAP_sdc-sdc-be-common,101,Java Classes,ONAP
org.ONAP.sdc.sdc-be-common:sdc-be-common-parent,101,Java Classes,ONAP
ONAP_optf-cmso,381,Java Classes,ONAP
ONAP_sdc,3254,Java Classes,ONAP
ONAP_externalapi-nbi,127,Java Classes,ONAP
ONAP_aaf-certservice,74,Java Classes,ONAP
ONAP_aai-aai-common,459,Java Classes,ONAP
ONAP_aai-babel,60,Java Classes,ONAP
ONAP_dcaegen2-platform-mod-runtimeapi,27,Java Classes,ONAP
ONAP_dcaegen2-services-datalake-handler,58,Java Classes,ONAP
ONAP_dcaegen2-services-datalake-handler-jess,58,Java Classes,ONAP
ONAP_dcaegen2-services-mapper,170,Java Classes,ONAP
ONAP_ccsdk-cds,700,Java Classes,ONAP
ONAP_policy-common,285,Java Classes,ONAP
ONAP_policy-drools-applications,83,Java Classes,ONAP
ONAP_policy-xacml-pdp,76,Java Classes,ONAP
ONAP_dmaap-dbcapi,117,Java Classes,ONAP
ONAP_aai-search-data-service,72,Java Classes,ONAP
ONAP_logging-analytics-pomba-pomba-aai-context-builder,35,Java Classes,ONAP
ONAP_logging-analytics-pomba-pomba-audit-common,20,Java Classes,ONAP
ONAP_logging-analytics-pomba-pomba-context-aggregator,18,Java Classes,ONAP
ONAP_logging-analytics-pomba-pomba-network-discovery-context-builder,15,Java Classes,ONAP
ONAP_logging-analytics-pomba-pomba-sdc-context-builder,17,Java Classes,ONAP
ONAP_so-libs,551,Java Classes,ONAP
ONAP_aai-schema-service,84,Java Classes,ONAP
ONAP_dcaegen2-services-prh,58,Java Classes,ONAP
ONAP_dcaegen2-services-sdk,139,Java Classes,ONAP
ONAP_dcaegen2-services-son-handler,117,Java Classes,ONAP
ONAP_dmaap-datarouter,128,Java Classes,ONAP
ONAP_integration-pnf-simulator,88,Java Classes,ONAP
ONAP_integration-simulators-pnf-simulator,86,Java Classes,ONAP
ONAP_aai-sparky-be,213,Java Classes,ONAP
ONAP_dcaegen2-services-pm-mapper,76,Java Classes,ONAP
ONAP_clamp,173,Java Classes,ONAP
ONAP_portal,416,Java Classes,ONAP
ONAP_multicloud-framework-artifactbroker,64,Java Classes,ONAP
ONAP_logging-analytics,70,Java Classes,ONAP
ONAP_ccsdk-apps,95,Java Classes,ONAP
ONAP_ccsdk-dashboard,159,Java Classes,ONAP
ONAP_vfc-nfvo-wfengine-activiti-extension,16,Java Classes,ONAP
ONAP_ccsdk-features,435,Java Classes,ONAP
ONAP_dcaegen2-platform-inventory-api,41,Java Classes,ONAP
ONAP_sdnc-apps,13,Java Classes,ONAP
ONAP_cli,144,Java Classes,ONAP
ONAP_ccsdk-sli-adaptors,186,Java Classes,ONAP
ONAP_ccsdk-sli-core,132,Java Classes,ONAP
ONAP_ccsdk-sli-northbound,36,Java Classes,ONAP
ONAP_dcaegen2-collectors-datafile,43,Java Classes,ONAP
ONAP_aai-spike,35,Java Classes,ONAP
ONAP_aai-traversal,93,Java Classes,ONAP
ONAP_vid,602,Java Classes,ONAP
ONAP_dmaap-messagerouter-messageservice,39,Java Classes,ONAP
ONAP_vnfsdk-functest,27,Java Classes,ONAP
ONAP_ccsdk-sli-plugins,108,Java Classes,ONAP
ONAP_holmes-engine-management,22,Java Classes,ONAP
ONAP_holmes-rule-management,23,Java Classes,ONAP
ONAP_msb-apigateway,105,Java Classes,ONAP
ONAP_vnfsdk-ves-agent,75,Java Classes,ONAP
ONAP_music,71,Java Classes,ONAP
ONAP_holmes-common,69,Java Classes,ONAP
ONAP_msb-discovery,69,Java Classes,ONAP
ONAP_msb-java-sdk,50,Java Classes,ONAP
ONAP_vfc-nfvo-multivimproxy,38,Java Classes,ONAP
ONAP_vfc-nfvo-driver-vnfm-gvnfm-juju,96,Java Classes,ONAP
ONAP_dmaap-messagerouter-dmaapclient,68,Java Classes,ONAP
ONAP_policy-apex-pdp,533,Java Classes,ONAP
ONAP_logging-analytics-pomba-pomba-sdnc-context-builder,48,Java Classes,ONAP
ONAP_sdc-sdc-distribution-client,51,Java Classes,ONAP
ONAP_dmaap-messagerouter-msgrtr,127,Java Classes,ONAP
ONAP_sdc-sdc-workflow-designer,101,Java Classes,ONAP
ONAP_vnfsdk-validation,197,Java Classes,ONAP
ONAP_vnfsdk-refrepo,93,Java Classes,ONAP
ONAP_sdc-dcae-d-dt-be-main,161,Java Classes,ONAP
ONAP_sdnc-northbound,15,Java Classes,ONAP
ONAP_sdc-dcae-d-ci,62,Java Classes,ONAP
ONAP_sdc-dcae-d-dt-be-property,121,Java Classes,ONAP
ONAP_sdc-sdc-tosca,115,Java Classes,ONAP
ONAP_vfc-nfvo-driver-svnfm-huawei,73,Java Classes,ONAP
ONAP_dmaap-messagerouter-mirroragent,9,Java Classes,ONAP
ONAP_vfc-nfvo-driver-vnfm-svnfm-nokiav2,93,Java Classes,ONAP
ONAP_vfc-nfvo-resmanagement,156,Java Classes,ONAP
ONAP_so,2233,Java Classes,ONAP
ONAP_vfc-nfvo-driver-ems,49,Java Classes,ONAP
ONAP_vfc-nfvo-driver-sfc,32,Java Classes,ONAP
Apache_sling-org-Apache-sling-scripting-bundle-tracker,149,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-core,300,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-esx,76,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-sightly-compiler,792,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-sightly,170,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-sightly-compiler-java,244,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-sightly-js-provider,115,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-java,114,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-javascript,261,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-jsp,2192,Java Methods,Apache
Apache_incubator-daffodil,5234,Java Methods,Apache
Apache_sling-org-Apache-sling-commons-html,228,Java Methods,Apache
Apache_sling-org-Apache-sling-hapi,164,Java Methods,Apache
Apache_sling-org-Apache-sling-i18n,87,Java Methods,Apache
Apache_sling-org-Apache-sling-jcr-contentloader,189,Java Methods,Apache
Apache_sling-org-Apache-sling-installer-core,399,Java Methods,Apache
Apache_sling-org-Apache-sling-jcr-jackrabbit-accessmanager,82,Java Methods,Apache
Apache_sling-org-Apache-sling-jcr-jackrabbit-usermanager,165,Java Methods,Apache
Apache_sling-org-Apache-sling-jcr-base,466,Java Methods,Apache
Apache_sling-org-Apache-sling-jcr-classloader,54,Java Methods,Apache
Apache_sling-org-Apache-sling-installer-provider-jcr,81,Java Methods,Apache
Apache_sling-org-Apache-sling-jcr-resource,281,Java Methods,Apache
servicecomb-pack,1588,Java Methods,Apache
commons-numbers,456,Java Methods,Apache
commons-rng,809,Java Methods,Apache
commons-statistics,336,Java Methods,Apache
cxf,34970,Java Methods,Apache
Apache_sling-org-Apache-sling-pipes,454,Java Methods,Apache
Apache_sling-org-Apache-sling-provisioning-model,157,Java Methods,Apache
Apache_sling-org-Apache-sling-query,356,Java Methods,Apache
Apache_sling-org-Apache-sling-resource-filter,218,Java Methods,Apache
Apache_sling-org-Apache-sling-resourcemerger,76,Java Methods,Apache
Apache_sling-org-Apache-sling-resourceresolver,778,Java Methods,Apache
Apache_sling-org-Apache-sling-discovery-impl,157,Java Methods,Apache
Apache_sling-org-Apache-sling-rewriter,224,Java Methods,Apache
Apache_groovy,18228,Java Methods,Apache
hadoop-ozone,9718,Java Methods,Apache
Apache_incubator-iotdb,8096,Java Methods,Apache
Apache_isis,16809,Java Methods,Apache
Apache_incubator-tamaya,801,Java Methods,Apache
Apache_incubator-tamaya-extensions,1565,Java Methods,Apache
Apache_sling-org-Apache-sling-junit-teleporter,67,Java Methods,Apache
Apache_sling-org-Apache-sling-xss,106,Java Methods,Apache
Apache_sling-org-Apache-sling-app-cms,872,Java Methods,Apache
Apache_sling-org-Apache-sling-jcr-repoinit,106,Java Methods,Apache
Apache_sling-org-Apache-sling-testing-sling-mock,437,Java Methods,Apache
Apache_sling-org-Apache-sling-junit-core,241,Java Methods,Apache
Apache_sling-org-Apache-sling-feature-modelconverter,21,Java Methods,Apache
Apache_sling-org-Apache-sling-file-optimization,73,Java Methods,Apache
Apache_sling-org-Apache-sling-fsresource,354,Java Methods,Apache
Apache_sling-org-Apache-sling-auth-form,82,Java Methods,Apache
Apache_openmeetings,5128,Java Methods,Apache
jspwiki-builder,3110,Java Methods,Apache
Apache_sling-org-Apache-sling-jobs,167,Java Methods,Apache
Apache_sling-org-Apache-sling-launchpad-base,241,Java Methods,Apache
Apache_sling-org-Apache-sling-launchpad-integration-tests,971,Java Methods,Apache
Apache_sling-org-Apache-sling-launchpad-test-services,243,Java Methods,Apache
Apache_sling-org-Apache-sling-tracer,128,Java Methods,Apache
Apache_sling-maven-launchpad-plugin,170,Java Methods,Apache
Apache_sling-maven-plugin,143,Java Methods,Apache
Apache_sling-org-Apache-sling-models-impl,320,Java Methods,Apache
Apache_sling-org-Apache-sling-models-integration-tests,90,Java Methods,Apache
Apache_sling-org-Apache-sling-api,662,Java Methods,Apache
Apache_sling-org-Apache-sling-auth-core,210,Java Methods,Apache
Apache_sling-org-Apache-sling-bundleresource-impl,77,Java Methods,Apache
Apache_sling-org-Apache-sling-clam,95,Java Methods,Apache
Apache_sling-org-Apache-sling-committer-cli,125,Java Methods,Apache
Apache_sling-org-Apache-sling-commons-jcr-file,188,Java Methods,Apache
Apache_sling-org-Apache-sling-commons-log,298,Java Methods,Apache
Apache_sling-org-Apache-sling-commons-metrics,150,Java Methods,Apache
JMeter,11101,Java Methods,Apache
commons-compress,2445,Java Methods,Apache
Apache-dolphinscheduler,5091,Java Methods,Apache
Apache_sling-org-Apache-sling-feature-io,122,Java Methods,Apache
Apache_sling-org-Apache-sling-jcr-webdav,103,Java Methods,Apache
Apache_sling-org-Apache-sling-jmx-provider,62,Java Methods,Apache
Apache_sling-org-Apache-sling-distribution-journal,458,Java Methods,Apache
Apache_sling-kickstart-maven-plugin,96,Java Methods,Apache
ant-master,11272,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-thymeleaf,95,Java Methods,Apache
poi-parent,28697,Java Methods,Apache
Apache_incubator-ratis,3524,Java Methods,Apache
Apache_sling-org-Apache-sling-testing-clients,445,Java Methods,Apache
Apache_struts,11893,Java Methods,Apache
servicecomb-toolkit,1387,Java Methods,Apache
Apache_sling-org-Apache-sling-servlets-get,117,Java Methods,Apache
Apache_plc4x,4197,Java Methods,Apache
Apache_incubator-tamaya-sandbox,814,Java Methods,Apache
commons-geometry,2221,Java Methods,Apache
Apache_sling-whiteboard,184,Java Methods,Apache
Apache_sling-org-Apache-sling-distribution-core,1152,Java Methods,Apache
Apache_sling-org-Apache-sling-testing-serversetup,85,Java Methods,Apache
Apache_sling-org-Apache-sling-serviceusermapper,69,Java Methods,Apache
Apache_sling-org-Apache-sling-servlet-helpers,373,Java Methods,Apache
Apache_sling-org-Apache-sling-servlets-resolver,257,Java Methods,Apache
Apache_sling-slingstart-maven-plugin,186,Java Methods,Apache
Apache_sling-org-Apache-sling-testing-jcr-mock,348,Java Methods,Apache
Apache_sling-org-Apache-sling-testing-osgi-mock,359,Java Methods,Apache
Apache_sling-org-Apache-sling-testing-paxexam,102,Java Methods,Apache
Apache_sling-org-Apache-sling-testing-resourceresolver-mock,140,Java Methods,Apache
Apache_sling-scriptingbundle-maven-plugin,78,Java Methods,Apache
roller-master,5243,Java Methods,Apache
Apache_sling-org-Apache-sling-scripting-jsp-taglib,153,Java Methods,Apache
Apache_sling-org-Apache-sling-discovery-oak,101,Java Methods,Apache
knox-gateway,7338,Java Methods,Apache
pdfbox-reactor,10746,Java Methods,Apache
Apache_sling-org-Apache-sling-discovery-base,220,Java Methods,Apache
Apache_sling-org-Apache-sling-discovery-commons,199,Java Methods,Apache
Apache_sling-org-Apache-sling-engine,925,Java Methods,Apache
Apache_sling-org-Apache-sling-event,592,Java Methods,Apache
Apache_sling-org-Apache-sling-feature,319,Java Methods,Apache
Apache_sling-org-Apache-sling-feature-launcher,94,Java Methods,Apache
Apache_sling-org-Apache-sling-feature-analyser,184,Java Methods,Apache
org.Apache.nemo:nemo-project,3087,Java Methods,Apache
Apache_sling-jspc-maven-plugin,127,Java Methods,Apache
Apache_sling-org-Apache-sling-commons-threads,168,Java Methods,Apache
Apache_sling-org-Apache-sling-testing-rules,101,Java Methods,Apache
Apache_sling-org-Apache-sling-commons-testing,603,Java Methods,Apache
Apache_sling-slingfeature-maven-plugin,314,Java Methods,Apache
Apache_sling-org-Apache-sling-commons-scheduler,174,Java Methods,Apache
Apache_sling-org-Apache-sling-feature-cpconverter,233,Java Methods,Apache
Apache_sling-org-Apache-sling-caconfig-impl,405,Java Methods,Apache
Apache_sling-org-Apache-sling-servlets-post,482,Java Methods,Apache
Apache_sling-org-Apache-sling-validation-core,142,Java Methods,Apache
Apache_sling-org-Apache-sling-feature-extension-apiregions,89,Java Methods,Apache
ONAP_vfc-nfvo-wfengine-wfenginemgrservice,86,Java Methods,ONAP
ONAP_dcaegen2-services-bbs-event-processor,298,Java Methods,ONAP
ONAP_policy-engine,6688,Java Methods,ONAP
ONAP_optf-fgps,378,Java Methods,ONAP
ONAP_usecase-ui-server,1897,Java Methods,ONAP
ONAP_policy-distribution,309,Java Methods,ONAP
ONAP_policy-pap,378,Java Methods,ONAP
ONAP_dcaegen2-analytics-tca,614,Java Methods,ONAP
ONAP_dcaegen2-analytics-tca-gen2,565,Java Methods,ONAP
ONAP_dcaegen2-collectors-restconf,335,Java Methods,ONAP
ONAP_dcaegen2-collectors-ves,266,Java Methods,ONAP
ONAP_portal-sdk,6283,Java Methods,ONAP
ONAP_policy-api,116,Java Methods,ONAP
ONAP_aaf-authz,4071,Java Methods,ONAP
ONAP_policy-drools-pdp,2427,Java Methods,ONAP
ONAP_aai-data-router,532,Java Methods,ONAP
ONAP_policy-models,2146,Java Methods,ONAP
ONAP_aai-validation,669,Java Methods,ONAP
ONAP_aai-cacher,293,Java Methods,ONAP
ONAP_aai-esr-server,603,Java Methods,ONAP
ONAP_aai-event-client,128,Java Methods,ONAP
ONAP_aai-gizmo,471,Java Methods,ONAP
ONAP_aai-graphadmin,932,Java Methods,ONAP
ONAP_aai-model-loader,351,Java Methods,ONAP
ONAP_aai-resources,218,Java Methods,ONAP
ONAP_aai-router-core,113,Java Methods,ONAP
ONAP_appc,5024,Java Methods,ONAP
ONAP_sdc-sdc-be-common,885,Java Methods,ONAP
org.ONAP.sdc.sdc-be-common:sdc-be-common-parent,884,Java Methods,ONAP
ONAP_optf-cmso,2103,Java Methods,ONAP
ONAP_sdc,21931,Java Methods,ONAP
ONAP_externalapi-nbi,827,Java Methods,ONAP
ONAP_aaf-certservice,209,Java Methods,ONAP
ONAP_aai-aai-common,2935,Java Methods,ONAP
ONAP_aai-babel,292,Java Methods,ONAP
ONAP_dcaegen2-platform-mod-runtimeapi,128,Java Methods,ONAP
ONAP_dcaegen2-services-datalake-handler,209,Java Methods,ONAP
ONAP_dcaegen2-services-datalake-handler-jess,209,Java Methods,ONAP
ONAP_dcaegen2-services-mapper,2366,Java Methods,ONAP
ONAP_ccsdk-cds,2326,Java Methods,ONAP
ONAP_policy-common,1873,Java Methods,ONAP
ONAP_policy-drools-applications,542,Java Methods,ONAP
ONAP_policy-xacml-pdp,395,Java Methods,ONAP
ONAP_dmaap-dbcapi,868,Java Methods,ONAP
ONAP_aai-search-data-service,518,Java Methods,ONAP
ONAP_logging-analytics-pomba-pomba-aai-context-builder,528,Java Methods,ONAP
ONAP_logging-analytics-pomba-pomba-audit-common,231,Java Methods,ONAP
ONAP_logging-analytics-pomba-pomba-context-aggregator,87,Java Methods,ONAP
ONAP_logging-analytics-pomba-pomba-network-discovery-context-builder,49,Java Methods,ONAP
ONAP_logging-analytics-pomba-pomba-sdc-context-builder,102,Java Methods,ONAP
ONAP_so-libs,2414,Java Methods,ONAP
ONAP_aai-schema-service,533,Java Methods,ONAP
ONAP_dcaegen2-services-prh,251,Java Methods,ONAP
ONAP_dcaegen2-services-sdk,521,Java Methods,ONAP
ONAP_dcaegen2-services-son-handler,756,Java Methods,ONAP
ONAP_dmaap-datarouter,1144,Java Methods,ONAP
ONAP_integration-pnf-simulator,248,Java Methods,ONAP
ONAP_integration-simulators-pnf-simulator,253,Java Methods,ONAP
ONAP_aai-sparky-be,1670,Java Methods,ONAP
ONAP_dcaegen2-services-pm-mapper,142,Java Methods,ONAP
ONAP_clamp,1634,Java Methods,ONAP
ONAP_portal,3604,Java Methods,ONAP
