organization,key,name,tags,visibility,isNew,repo_url,eligibilityStatus,eligible
apache,apache_sling-org-apache-sling-auth-core,Apache Sling Authentication Service,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-auth-core,,
apache,apache_sling-org-apache-sling-bundleresource-impl,Apache Sling Bundle Resource Provider,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-bundleresource-impl,,
apache,apache_sling-org-apache-sling-clam,Apache Sling Clam,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-clam,,
apache,apache_sling-org-apache-sling-committer-cli,Apache Sling Committer CLI,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-committer-cli,,
apache,apache_sling-org-apache-sling-commons-jcr-file,Apache Sling Commons JCR File,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-commons-jcr-file,,
apache,apache_sling-org-apache-sling-commons-log,Apache Sling Commons Log,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-commons-log,,
apache,apache_sling-org-apache-sling-commons-metrics,Apache Sling Commons Metrics,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-commons-metrics,,
apache,JMeter,JMeter,[],public,False,,,
onap,onap_aai-cacher,aai-cacher,[],public,False,,,
onap,onap_aai-esr-server,aai-esr-server,[],public,False,,,
onap,onap_aai-event-client,aai-event-client,[],public,False,,,
onap,onap_aai-gizmo,aai-gizmo,[],public,False,,,
onap,onap_aai-graphadmin,aai-graphadmin,[],public,False,,,
onap,onap_aai-model-loader,aai-model-loader,[],public,False,,,
onap,onap_aai-resources,aai-resources,[],public,False,,,
onap,onap_aai-router-core,aai-router-core,[],public,False,,,
onap,onap_appc,appc,[],public,False,,,
onap,onap_sdc-sdc-be-common,sdc-be-common,[],public,False,,,
onap,org.onap.sdc.sdc-be-common:sdc-be-common-parent,sdc-be-common,[],public,False,,,
apache,commons-compress,Apache Commons Compress,[],public,False,,,
apache,apache-dolphinscheduler,dolphinscheduler,[],public,False,https://github.com/apache/incubator-dolphinscheduler,COMPLETED,False
apache,apache_sling-org-apache-sling-feature-io,Apache Sling Feature IO Module,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-feature-io,,
onap,onap_optf-cmso,optf-cmso,[],public,False,,,
onap,onap_optf-has,optf-has,[],public,False,,,
onap,onap_optf-osdf,optf-osdf,[],public,False,,,
onap,onap_vvp-validation-scripts,vvp-validation-scripts,[],public,False,,,
onap,onap_sdc,sdc,[],public,False,,,
onap,onap_externalapi-nbi,externalapi-nbi,[],public,False,,,
apache,apache_sling-org-apache-sling-jcr-webdav,Apache Sling JCR WebDAV,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-jcr-webdav,,
apache,apache_sling-org-apache-sling-jmx-provider,Apache Sling JMX Resource Provider,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-jmx-provider,,
apache,apache_sling-org-apache-sling-distribution-journal,Apache Sling Journal based Content Distribution - Core bundle,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-distribution-journal,,
apache,apache_sling-kickstart-maven-plugin,Apache Sling Kickstart Maven Plugin,[],public,False,https://github.com/apache/sling-kickstart-maven-plugin,,
onap,onap_multicloud-azure,multicloud-azure,[],public,False,,,
onap,onap_aaf-certservice,aaf-certservice,[],public,False,,,
onap,onap_aai-aai-common,aai-aai-common,[],public,False,,,
onap,onap_aai-babel,aai-babel,[],public,False,,,
onap,onap_dcaegen2-platform-mod-onboardingapi,dcaegen2-platform-mod-onboardingapi,[],public,False,,,
onap,onap_dcaegen2-platform-mod-runtimeapi,dcaegen2-platform-mod-runtimeapi,[],public,False,,,
onap,onap_dcaegen2-platform-oti-event-handler,dcaegen2-platform-oti-event-handler,[],public,False,,,
onap,onap_dcaegen2-platform-plugins,dcaegen2-platform-plugins,[],public,False,,,
onap,onap_dcaegen2-platform-policy-handler,dcaegen2-platform-policy-handler,[],public,False,,,
onap,onap_dcaegen2-services-datalake-handler,dcaegen2-service-datalake-handler,[],public,False,,,
onap,onap_dcaegen2-services-datalake-handler-jess,dcaegen2-service-datalake-handler,[],public,False,,,
onap,onap_dcaegen2-services-heartbeat,dcaegen2-services-heartbeat,[],public,False,,,
onap,onap_dcaegen2-services-mapper,dcaegen2-services-mapper,[],public,False,,,
apache,ant-master,Apache Ant,[],public,False,,,
onap,onap_vfc-nfvo-lcm,vfc-nfvo-lcm,[],public,False,,,
onap,onap_ccsdk-cds,CDS Parent,[],public,False,,,
onap,onap_policy-common,policy-common,[],public,False,,,
onap,onap_policy-drools-applications,policy-drools-applications,[],public,False,,,
onap,onap_policy-xacml-pdp,policy-xacml-pdp,[],public,False,,,
apache,apache_ofbiz-plugins,ofbiz-plugins,[],public,False,https://github.com/apache/ofbiz-plugins,,
apache,apache_sling-org-apache-sling-scripting-thymeleaf,Apache Sling Scripting Thymeleaf,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-scripting-thymeleaf,,
apache,poi-parent,Apache POI - the Java API for Microsoft Documents,[],public,False,,,
apache,apache_incubator-ratis,Apache Ratis,[],public,False,https://github.com/apache/incubator-ratis,COMPLETED,False
onap,onap_dmaap-dbcapi,dmaap-dbcapi,[],public,False,,,
apache,apache_sling-org-apache-sling-testing-clients,Apache Sling Testing Clients,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-testing-clients,,
apache,apache_struts,Struts 2,[],public,False,https://github.com/apache/struts,,
apache,servicecomb-toolkit,Apache ServiceComb Toolkit,['servicecomb'],public,False,,,
apache,apache_ofbiz-framework,ofbiz-framework,['ofbiz'],public,False,https://github.com/apache/ofbiz-framework,,
onap,onap_aai-search-data-service,aai-search-data-service aggregate pom,[],public,False,,,
apache,apache_sling-org-apache-sling-servlets-get,Apache Sling Default GET Servlets,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-servlets-get,,
